Date,Close/Last,Volume,Open,High,Low
2025-01-10,116.04,59415610,118.18,118.71,114.45
2025-01-08,121.84,46723140,124.51,125.30,120.12
2025-01-07,127.33,39220410,130.51,131.71,126.85
2025-01-06,129.55,48020190,129.07,130.73,127.36
2025-01-03,125.37,36785300,121.65,125.56,121.42
2025-01-02,120.63,34256180,122.29,123.14,119.44
2024-12-31,120.79,30203430,123.10,123.55,120.14
2024-12-30,122.44,30501640,123.56,124.10,122.35
2024-12-27,125.19,32924010,124.37,126.18,122.26
2024-12-26,125.06,25139140,125.52,127.30,125.05
2024-12-24,126.29,24829560,127.51,127.51,124.66
2024-12-23,124.60,47777900,120.71,126.34,120.47
2024-12-20,119.21,53591210,118.00,121.86,117.90
2024-12-19,118.88,46160670,122.16,123.38,118.45
2024-12-18,121.41,49724440,125.43,127.75,120.43
2024-12-17,125.02,43314940,124.45,127.08,123.15
2024-12-16,126.69,42090280,126.01,127.76,123.12
2024-12-13,126.91,67544740,131.30,131.30,124.77
2024-12-12,130.60,34267090,130.00,132.32,129.07
2024-12-11,130.15,45588140,128.52,131.21,126.22
2024-12-10,127.74,38907200,131.56,131.56,127.07
2024-12-09,130.87,57055560,135.71,135.77,130.00
2024-12-06,138.59,33576840,141.48,142.79,137.40
2024-12-05,141.36,29576930,143.68,143.95,140.38
2024-12-04,143.99,25942650,142.96,144.12,141.18
2024-12-03,141.98,22665350,142.58,143.45,141.08
2024-12-02,142.06,33102440,137.92,142.82,137.80
2024-11-29,137.18,16085710,136.24,138.59,135.78
2024-11-27,136.24,30175290,137.20,137.94,132.96
2024-11-26,137.72,32092380,142.55,142.80,136.62
2024-11-25,141.13,30923110,140.49,142.35,139.05
2024-11-22,138.35,21784730,137.35,139.13,137.04
2024-11-21,137.49,29311440,138.87,140.28,134.93
2024-11-20,137.60,28843070,138.96,140.77,135.48
2024-11-19,139.39,23131350,137.41,139.75,137.14
2024-11-18,138.93,38782430,138.19,140.90,137.21
2024-11-15,134.90,44217530,136.58,137.35,133.65
2024-11-14,138.84,31681410,140.34,141.40,138.56
2024-11-13,139.30,35146650,142.86,144.49,139.07
2024-11-12,143.63,33560290,147.00,147.45,141.55
2024-11-11,147.35,29868130,147.38,148.57,144.91
2024-11-08,147.95,27560340,149.39,150.71,147.53
2024-11-07,149.82,30326430,146.68,150.12,145.66
2024-11-06,145.10,32911500,144.95,145.63,141.52
2024-11-05,141.66,27067330,141.94,143.08,140.80
2024-11-04,140.71,29117420,141.70,143.64,139.72
2024-11-01,141.86,39027430,144.44,144.54,141.32
2024-10-31,144.07,44386600,147.80,148.68,143.33
2024-10-30,148.60,87701670,153.01,153.12,148.10
2024-10-29,166.25,71896040,161.10,167.51,158.94
2024-10-28,159.92,36010130,158.50,160.28,157.05
2024-10-25,156.23,29758490,155.40,158.91,155.05
2024-10-24,153.44,22877020,154.74,155.19,152.35
2024-10-23,152.91,26095930,153.00,153.45,150.52
2024-10-22,154.09,34997350,156.60,156.74,151.91
2024-10-21,157.90,25781210,155.76,158.00,154.15
2024-10-18,155.97,23822990,157.41,158.01,155.56
2024-10-17,156.25,29491850,160.00,160.44,156.20
2024-10-16,156.13,30575770,158.08,158.28,154.92
2024-10-15,156.64,50768020,163.21,164.13,155.74
2024-10-14,165.27,31757210,167.77,168.90,165.15
2024-10-11,167.89,42136180,164.19,169.35,163.01
2024-10-10,164.18,75113590,169.76,172.01,162.00
2024-10-09,171.02,33890740,174.05,174.05,169.55
2024-10-08,172.80,34730150,171.75,173.60,170.00
2024-10-07,170.97,38379930,171.08,172.41,168.21
2024-10-04,170.90,44640300,166.53,171.21,164.42
2024-10-03,162.85,29598790,159.71,166.79,159.40
2024-10-02,159.78,24630430,159.31,163.10,158.67
2024-10-01,159.75,31831860,164.48,165.40,158.08
2024-09-30,164.08,21920300,163.10,165.08,162.18
2024-09-27,164.35,27876040,167.48,168.73,163.74
2024-09-26,167.49,38044920,167.06,168.68,164.05
2024-09-25,162.02,35233260,158.50,162.95,158.18
2024-09-24,158.32,27531200,157.46,159.64,154.58
2024-09-23,156.75,21728540,156.45,157.19,154.97
2024-09-20,155.95,40248200,156.00,157.45,152.47
2024-09-19,156.74,44499980,153.81,159.25,152.77
2024-09-18,148.29,26320080,150.90,152.82,148.01
2024-09-17,150.82,29888990,153.55,154.05,149.23
2024-09-16,152.08,27677760,151.70,154.44,150.91
2024-09-13,152.31,25117240,152.32,153.03,150.70
2024-09-12,150.77,29286170,148.43,151.54,147.65
2024-09-11,149.86,50935390,145.33,150.16,140.71
2024-09-10,142.84,37217530,139.06,143.08,137.25
2024-09-09,138.15,27194510,136.10,138.45,134.86
2024-09-06,134.35,39993510,138.70,139.13,132.11
2024-09-05,139.44,25023020,138.20,141.71,137.83
2024-09-04,140.87,42130650,140.51,143.37,138.51
2024-09-03,136.94,42172670,146.41,146.49,136.10
2024-08-30,148.56,31169070,147.52,148.99,145.25
2024-08-29,145.49,31602110,146.59,149.49,144.47
2024-08-28,146.36,34075820,149.40,150.43,144.72
2024-08-27,150.50,35102650,150.13,151.70,148.44
2024-08-26,149.99,49893260,154.70,158.28,148.91
2024-08-23,154.98,43694640,153.60,156.40,151.83
2024-08-22,151.70,45737260,158.87,159.84,151.01
2024-08-21,157.81,42791250,156.12,158.65,155.07
2024-08-20,156.40,76851160,156.49,162.04,154.51
2024-08-19,155.28,60766850,148.43,155.37,147.72
2024-08-16,148.56,31123930,145.70,149.37,145.20
2024-08-15,147.36,43582390,143.00,147.96,141.81
2024-08-14,140.75,35506430,143.00,143.25,137.64
2024-08-13,141.13,42218020,138.12,141.19,137.52
2024-08-12,136.77,39724340,134.44,137.99,133.23
2024-08-09,134.27,40582990,134.69,135.50,132.44
2024-08-08,136.32,49037450,131.97,136.48,128.94
2024-08-07,128.67,54676490,133.75,136.24,128.37
2024-08-06,130.18,64455610,135.15,136.44,129.10
2024-08-05,134.82,76089360,122.16,139.14,121.83
2024-08-02,132.50,78562000,133.50,137.10,131.33
2024-08-01,132.54,94731930,145.00,147.29,130.24
2024-07-31,144.48,114306800,150.73,153.60,140.03
2024-07-30,138.44,68801710,139.88,141.70,134.05
2024-07-29,139.75,47447190,141.19,144.59,138.75
2024-07-26,139.99,49435830,140.32,141.29,138.27
2024-07-25,138.32,60578530,144.07,144.75,136.81
2024-07-24,144.63,49203120,152.72,153.68,144.53
2024-07-23,154.00,31950580,154.95,157.05,153.80
2024-07-22,155.87,43912460,154.23,156.70,152.55
2024-07-19,151.58,47513060,154.86,155.81,150.62
2024-07-18,155.77,69420340,163.41,163.41,153.20
2024-07-17,159.43,76954200,169.80,169.80,159.37
2024-07-16,177.55,40633060,179.69,179.75,174.53
2024-07-15,179.83,42202730,184.45,185.50,178.54
2024-07-12,181.61,50827370,182.02,186.99,179.69
2024-07-11,181.94,59231410,184.07,187.11,177.25
2024-07-10,183.96,90246970,179.99,187.28,177.80
2024-07-09,177.10,43471170,177.97,180.41,174.70
2024-07-08,178.69,60223420,174.90,178.95,173.22
2024-07-05,171.90,61857050,165.97,174.04,165.68
2024-07-03,163.90,26980910,164.20,165.26,162.51
2024-07-02,164.31,57838610,157.04,164.58,156.70
2024-07-01,157.69,50436690,161.25,161.51,153.64
2024-06-28,162.21,56204620,160.23,166.45,159.41
2024-06-27,159.47,34018220,157.18,160.61,156.81
2024-06-26,157.54,36973440,160.60,160.74,156.00
2024-06-25,160.25,40975280,160.73,161.00,156.45
2024-06-24,160.25,45954050,159.75,163.40,158.19
2024-06-21,161.23,61334700,161.75,163.20,157.89
2024-06-20,161.78,93245730,155.83,166.82,155.50
2024-06-18,154.63,51852030,156.99,157.24,153.34
2024-06-17,158.40,44507740,158.00,159.23,154.14
2024-06-14,159.63,34054020,158.50,161.34,157.61
2024-06-13,159.90,44442510,160.40,162.66,157.31
2024-06-12,160.24,48325810,160.32,162.24,158.62
2024-06-11,158.96,40497090,160.50,161.54,156.92
2024-06-10,160.34,67575630,162.48,165.55,159.61
2024-06-07,167.87,44796000,166.59,169.45,165.86
2024-06-06,166.78,47153680,165.46,169.51,163.86
2024-06-05,166.17,60507490,162.07,167.12,161.38
2024-06-04,159.99,48157210,162.84,164.83,158.87
2024-06-03,163.55,59157590,170.82,171.08,160.91
2024-05-31,166.90,64331950,166.65,169.50,160.07
2024-05-30,166.75,46479930,167.90,168.75,163.80
2024-05-29,165.14,56537500,167.46,168.48,162.91
2024-05-28,171.61,66495410,169.42,174.55,164.96
2024-05-24,166.36,54868650,161.41,167.66,160.25
2024-05-23,160.43,91888840,170.18,173.14,158.27
2024-05-22,165.52,47426720,167.41,169.81,163.86
2024-05-21,164.66,30005480,164.00,165.83,163.10
2024-05-20,166.33,45618040,165.55,168.49,164.47
2024-05-17,164.47,65944360,168.43,169.72,162.32
2024-05-16,162.62,76726730,160.92,168.06,159.90
2024-05-15,159.67,43195900,155.59,159.69,154.70
2024-05-14,153.16,31938280,150.43,153.49,148.78
2024-05-13,150.56,27859180,151.28,153.33,150.40
2024-05-10,151.92,37652770,154.29,156.37,151.31
2024-05-09,152.39,33017960,153.13,154.09,150.61
2024-05-08,153.62,28727960,153.40,155.33,152.52
2024-05-07,154.43,37374910,156.32,157.70,153.66
2024-05-06,155.78,44624550,153.10,156.65,151.26
2024-05-03,150.60,49361080,148.75,150.79,147.24
2024-05-02,146.16,50034730,145.51,147.62,141.16
2024-05-01,144.27,89413170,148.11,151.37,142.14
2024-04-30,158.38,60742830,160.63,162.29,158.35
2024-04-29,160.20,43478220,159.08,160.77,156.26
2024-04-26,157.40,42510710,154.24,158.63,153.43
2024-04-25,153.76,41471420,149.15,155.14,146.75
2024-04-24,151.74,43412550,156.56,157.66,150.63
2024-04-23,152.27,46051910,151.65,153.50,150.35
2024-04-22,148.64,49397030,148.15,149.89,145.63
2024-04-19,146.64,71618200,151.59,154.25,145.29
2024-04-18,155.08,52669820,155.51,156.96,152.32
2024-04-17,154.02,75908970,163.97,164.45,153.88
2024-04-16,163.46,55302100,162.28,164.88,161.67
2024-04-15,160.32,61461150,164.43,164.44,158.76
2024-04-12,163.28,63519640,164.53,165.70,161.83
2024-04-11,170.50,48994530,167.55,170.95,166.55
2024-04-10,167.14,59599960,166.71,169.78,164.00
2024-04-09,170.78,42927990,170.21,171.60,167.29
2024-04-08,169.90,43997550,168.20,171.66,166.82
2024-04-05,170.42,66080260,168.10,172.69,165.58
2024-04-04,165.83,88279960,182.92,183.02,165.65
2024-04-03,180.77,49835060,177.54,182.05,176.70
2024-04-02,178.70,61598820,179.47,180.10,174.83
2024-04-01,183.34,74299910,180.10,187.24,179.90
2024-03-28,180.49,57628610,179.47,183.40,178.30
2024-03-27,179.59,55685650,179.96,181.23,175.40
2024-03-26,177.87,65322450,179.54,182.60,176.33
2024-03-25,178.63,71935310,172.90,182.80,172.00
2024-03-22,179.65,57899070,177.21,180.76,175.05
2024-03-21,178.68,75265600,185.97,187.69,177.66
2024-03-20,179.73,81773110,182.03,182.68,174.00
2024-03-19,181.42,83509460,183.16,185.61,177.36
2024-03-18,190.65,59306870,193.29,193.50,188.05
2024-03-15,191.06,95289510,184.83,193.80,184.48
2024-03-14,187.06,84490530,192.92,196.93,184.03
2024-03-13,194.79,70526880,198.73,198.83,192.70
2024-03-12,202.76,68951660,200.52,202.85,194.27
2024-03-11,198.39,73098620,203.01,203.55,196.70
2024-03-08,207.39,120815200,213.41,227.30,205.60
2024-03-07,211.38,63869040,212.52,213.83,208.22
2024-03-06,210.63,86686990,210.43,214.81,207.32
2024-03-05,205.13,65407110,200.50,205.33,199.15
2024-03-04,205.36,86835340,205.16,211.01,203.50
2024-03-01,202.64,103820800,197.91,202.72,195.42
2024-02-29,192.53,105538500,179.82,193.00,179.82
2024-02-28,176.54,35914410,176.25,176.84,173.59
2024-02-27,178.00,43665240,175.92,178.46,172.49
2024-02-26,176.01,45435090,178.78,179.84,174.81
2024-02-23,176.52,69207370,181.86,183.80,174.55
2024-02-22,181.86,100684700,173.20,183.83,172.00
2024-02-21,164.29,48774560,162.74,164.90,161.81
2024-02-20,165.69,66549990,171.14,171.81,162.00
2024-02-16,173.87,53940340,177.45,180.33,173.25
2024-02-15,176.76,51126440,179.14,180.50,175.26
2024-02-14,178.70,57402520,173.47,178.74,172.88
2024-02-13,171.54,63071310,167.94,173.17,164.30
2024-02-12,171.91,58177050,172.68,177.41,170.67
2024-02-09,172.48,56375710,171.00,175.10,168.66
2024-02-08,169.35,43385280,170.33,172.17,168.60
2024-02-07,170.94,53665420,169.47,172.97,168.20
2024-02-06,167.88,68854130,173.15,173.88,165.50
2024-02-05,174.23,76349240,179.09,180.01,171.11
2024-02-02,177.66,82134270,173.79,179.00,173.05
2024-02-01,170.48,91576690,169.27,171.14,165.86
2024-01-31,167.69,133157300,165.74,171.30,162.56
2024-01-30,172.06,122265700,176.13,178.48,169.52
2024-01-29,177.83,89384450,178.77,178.89,174.40
2024-01-26,177.25,107381200,175.29,181.23,174.15
2024-01-25,180.33,127171400,183.41,184.92,177.63
2024-01-24,178.29,125516400,172.55,180.58,170.56
2024-01-23,168.42,76830460,166.50,169.63,164.27
2024-01-22,168.18,122973800,174.39,174.72,164.15
2024-01-19,174.23,140367900,165.80,174.25,162.20
2024-01-18,162.67,131864900,166.20,168.60,158.22
2024-01-17,160.17,104085000,158.45,160.64,154.40
2024-01-16,158.74,112711400,150.36,159.72,149.98
2024-01-12,146.56,48293090,148.04,148.75,145.00
2024-01-11,148.02,62764600,148.52,150.38,143.69
2024-01-10,148.54,56951240,150.07,150.88,146.65
2024-01-09,149.26,67875670,145.95,149.86,145.08
2024-01-08,146.18,71756910,140.36,147.15,140.15
2024-01-05,138.58,69657680,136.78,141.01,136.44
2024-01-04,136.01,58610290,134.30,137.70,134.00
2024-01-03,135.32,61988580,135.71,137.43,133.74
2024-01-02,138.58,64902030,144.28,144.40,137.43
2023-12-29,147.41,62079190,149.50,151.05,147.20
2023-12-28,148.76,63800680,146.80,150.41,145.95
2023-12-27,146.07,49033420,144.72,146.25,143.18
2023-12-26,143.41,47157430,140.07,143.85,139.92
2023-12-22,139.60,35396580,140.48,140.70,138.31
2023-12-21,139.91,47179360,138.14,139.98,137.38
2023-12-20,135.47,54671720,139.00,139.58,135.37
2023-12-19,140.15,63739780,138.57,143.47,138.56
2023-12-18,138.90,45199450,139.15,139.79,137.65
2023-12-15,139.15,70211800,139.52,140.89,137.25
2023-12-14,138.00,76115170,138.89,141.82,135.73
2023-12-13,138.19,70651600,137.97,139.24,136.03
2023-12-12,137.61,111677800,132.25,139.89,131.90
2023-12-11,134.41,98668280,130.56,135.04,128.25
2023-12-08,128.92,89341010,129.54,131.00,126.89
2023-12-07,128.37,118579100,120.79,128.68,119.56
2023-12-06,116.82,60599030,120.69,122.83,116.38
2023-12-05,118.38,39191570,117.43,118.49,116.45
2023-12-04,118.57,39854420,119.75,119.90,116.37
2023-12-01,121.39,37048000,119.88,121.40,118.65
2023-11-30,121.16,44494210,123.61,124.05,119.65
2023-11-29,123.85,37876320,123.98,125.73,123.48
2023-11-28,122.01,32047060,121.98,122.54,120.79
2023-11-27,122.65,32743010,122.07,123.89,121.77
2023-11-24,122.31,19001010,122.03,123.25,121.54
2023-11-22,122.51,56894490,120.00,124.76,119.95
2023-11-21,119.16,41064750,120.54,120.65,117.94
2023-11-20,121.53,43173930,120.70,121.93,120.07
2023-11-17,120.62,38538700,119.64,121.49,118.82
2023-11-16,119.83,49661870,117.20,120.73,116.41
2023-11-15,118.00,59555590,120.54,120.59,116.87
2023-11-14,119.88,61017450,119.70,122.11,119.22
2023-11-13,116.79,46741890,118.34,118.68,116.00
2023-11-10,118.59,75204070,114.35,119.70,114.03
2023-11-09,113.49,61146860,114.10,115.81,113.06
2023-11-08,113.59,41880610,113.55,115.32,112.88
2023-11-07,113.45,50550150,111.86,114.65,111.22
2023-11-06,111.75,49270370,112.60,113.08,110.22
2023-11-03,112.25,65632200,109.05,113.39,107.86
2023-11-02,107.83,71376950,107.96,109.41,105.91
2023-11-01,108.04,138641500,98.58,108.15,98.50
2023-10-31,98.50,79547130,96.24,98.82,94.07
2023-10-30,96.18,43716640,96.14,97.04,94.70
2023-10-27,96.43,52458650,95.80,97.35,94.59
2023-10-26,93.67,49896360,95.99,97.52,93.12
2023-10-25,96.06,53424480,100.42,101.03,95.23
2023-10-24,101.67,51982920,100.97,101.79,99.38
2023-10-23,100.01,50817440,100.81,102.42,99.32
2023-10-20,101.81,61317930,102.28,104.34,101.44
2023-10-19,102.40,52734200,103.81,105.60,101.84
2023-10-18,102.17,50449950,103.38,104.78,101.74
2023-10-17,105.14,49642110,103.54,106.29,101.66
2023-10-16,106.46,42464510,105.42,107.48,105.03
2023-10-13,105.09,52925930,108.65,108.97,104.75
2023-10-12,108.79,60959430,108.40,111.31,107.51
2023-10-11,108.31,51085640,109.14,110.10,106.93
2023-10-10,109.01,57105530,107.49,110.12,106.40
2023-10-09,106.97,39593190,106.01,107.31,104.79
2023-10-06,107.24,64864080,102.16,107.87,102.03
2023-10-05,102.91,51789730,103.41,103.74,100.27
2023-10-04,104.07,51023250,100.65,104.40,100.34
2023-10-03,100.08,48116980,101.80,103.29,99.17
2023-10-02,103.27,45118570,102.21,103.71,101.70
2023-09-29,102.82,56078640,104.69,104.94,102.56
2023-09-28,102.76,72542060,97.94,104.20,97.76
2023-09-27,98.07,51261500,96.82,99.23,96.35
2023-09-26,95.96,42866460,96.50,97.83,95.27
2023-09-25,97.38,43223750,95.95,97.45,94.46
2023-09-22,96.20,52169400,96.92,98.42,95.61
2023-09-21,96.11,59704340,98.60,98.87,95.84
2023-09-20,100.34,55180580,102.36,103.94,100.28
2023-09-19,101.61,41704110,101.75,102.86,100.70
2023-09-18,102.37,49061310,100.82,102.99,99.45
2023-09-15,101.49,71103620,106.07,106.76,101.28
2023-09-14,106.63,45920610,108.43,109.15,106.22
2023-09-13,107.71,44702250,105.10,108.74,104.83
2023-09-12,105.31,44413570,104.20,106.74,103.18
2023-09-11,105.32,50611290,107.32,107.51,103.00
2023-09-08,106.09,46271560,107.02,109.74,105.75
2023-09-07,106.59,49080150,106.14,107.69,105.09
2023-09-06,109.28,47736700,110.56,111.33,108.22
2023-09-05,110.78,66042190,109.00,111.82,106.30
2023-09-01,109.45,54856150,107.00,110.06,106.61
2023-08-31,105.72,58918970,106.19,108.06,104.86
2023-08-30,106.59,54847350,105.40,107.67,104.50
2023-08-29,105.92,50850290,102.11,106.57,101.79
2023-08-28,102.61,55386800,103.47,104.07,100.89
2023-08-25,102.25,74793090,101.17,104.12,99.58
2023-08-24,101.80,109179100,111.06,111.64,100.87
2023-08-23,109.43,54656330,105.65,110.08,105.00
2023-08-22,105.66,47335090,109.40,109.72,104.85
2023-08-21,108.22,49319240,106.20,108.54,105.67
2023-08-18,105.45,59916680,102.40,106.07,101.68
2023-08-17,104.44,59064280,107.62,107.85,104.10
2023-08-16,107.19,54327300,110.09,110.44,106.98
2023-08-15,111.35,53816570,111.99,113.18,110.17
2023-08-14,111.98,57421820,106.75,111.99,105.42
2023-08-11,107.57,55667750,108.85,109.07,106.48
2023-08-10,110.23,57297790,111.30,113.89,109.47
2023-08-09,110.47,56257070,112.89,113.15,108.78
2023-08-08,113.23,54141830,114.94,115.46,111.41
