Date,Close/Last,Volume,Open,High,Low
2025-01-10,19.15,71244580,19.66,19.66,18.91
2025-01-08,19.88,47897070,19.83,20.12,19.71
2025-01-07,20.01,61726060,20.02,20.34,19.90
2025-01-06,19.87,83270990,20.83,20.98,19.78
2025-01-03,20.56,48983940,20.39,20.67,20.06
2025-01-02,20.22,46438530,20.23,20.43,20.00
2024-12-31,20.05,49846660,19.99,20.40,19.88
2024-12-30,19.82,59608130,20.01,20.12,19.73
2024-12-27,20.30,48260830,20.21,20.61,20.09
2024-12-26,20.44,39950380,20.23,20.67,20.08
2024-12-24,20.40,29884030,20.22,20.40,19.96
2024-12-23,20.20,57988380,19.58,20.23,19.52
2024-12-20,19.52,108453700,18.97,19.76,18.90
2024-12-19,19.06,69117810,19.53,19.69,19.03
2024-12-18,19.30,86041240,20.48,20.58,19.21
2024-12-17,20.44,51767150,20.64,20.77,20.29
2024-12-16,20.83,73832890,20.17,21.10,20.00
2024-12-13,20.34,55104080,20.60,20.80,20.25
2024-12-12,20.78,77695010,20.02,20.90,19.92
2024-12-11,20.12,75209340,20.14,20.25,19.87
2024-12-10,20.16,90004830,20.83,20.86,19.96
2024-12-09,20.81,68818220,20.92,21.06,20.73
2024-12-06,20.92,78539130,20.95,21.05,20.66
2024-12-05,20.80,167993500,22.04,22.19,20.66
2024-12-04,21.96,104649000,22.53,22.54,21.81
2024-12-03,22.47,138160500,23.68,23.75,22.44
2024-12-02,23.93,150497900,24.84,25.48,23.44
2024-11-29,24.05,36616750,23.72,24.28,23.60
2024-11-27,23.65,53992320,23.83,23.93,23.06
2024-11-26,24.05,69613560,24.95,24.99,23.81
2024-11-25,24.87,91128390,25.04,25.57,24.76
2024-11-22,24.50,36784720,24.35,24.68,24.14
2024-11-21,24.44,58928410,24.08,24.77,23.83
2024-11-20,24.01,50191510,24.07,24.21,23.55
2024-11-19,24.20,61190860,24.50,24.54,24.10
2024-11-18,24.84,59667330,24.33,25.02,24.16
2024-11-15,24.35,55104880,24.81,24.82,24.23
2024-11-14,25.03,49252120,25.12,25.61,24.93
2024-11-13,24.92,58201970,24.06,25.14,24.02
2024-11-12,24.16,62539730,24.66,24.96,23.89
2024-11-11,25.05,80185320,25.96,26.29,24.83
2024-11-08,26.20,76427980,26.00,26.43,25.83
2024-11-07,26.23,101489300,25.43,26.38,25.19
2024-11-06,25.05,116760500,24.30,25.12,24.05
2024-11-05,23.32,59153330,22.58,23.58,22.40
2024-11-04,22.52,84616300,22.96,23.00,22.00
2024-11-01,23.20,173471100,23.00,23.58,21.91
2024-10-31,21.52,112485500,22.15,22.25,21.47
2024-10-30,22.30,50941230,22.42,22.93,22.26
2024-10-29,22.90,83422240,22.87,23.14,22.41
2024-10-28,22.92,41914970,22.67,23.27,22.56
2024-10-25,22.68,67502980,22.42,23.34,22.41
2024-10-24,22.34,40554420,22.09,22.37,21.97
2024-10-23,21.98,45799050,22.30,22.43,21.58
2024-10-22,22.40,50160380,22.73,22.82,22.17
2024-10-21,22.84,39726990,22.61,22.88,22.25
2024-10-18,22.77,39971700,22.61,22.82,22.50
2024-10-17,22.44,43807580,22.72,22.82,22.40
2024-10-16,22.31,62151770,22.38,22.54,21.74
2024-10-15,22.66,68900560,23.41,23.72,22.47
2024-10-14,23.44,35403650,23.58,23.77,23.27
2024-10-11,23.56,43585250,23.05,23.82,22.98
2024-10-10,23.22,44874580,23.19,23.53,22.96
2024-10-09,23.46,44759020,23.25,23.48,23.06
2024-10-08,23.32,58650460,22.25,23.42,22.05
2024-10-07,22.38,54928670,22.40,22.65,22.02
2024-10-04,22.59,49966930,22.70,22.91,22.30
2024-10-03,22.26,49565930,22.14,22.73,21.65
2024-10-02,22.39,59033900,22.67,23.07,22.35
2024-10-01,22.69,86344360,23.46,23.72,22.26
2024-09-30,23.46,66460230,23.74,23.95,23.09
