Date,Close/Last,Volume,Open,High,Low
2025-01-10,418.95,20201130,424.63,424.71,415.02
2025-01-08,424.56,15054580,423.46,426.97,421.54
2025-01-07,422.37,18139070,429.00,430.65,420.80
2025-01-06,427.85,20573650,428.00,434.32,425.48
2025-01-03,423.35,16662940,421.08,424.03,419.54
2025-01-02,418.58,16896470,425.53,426.07,414.85
2024-12-31,421.50,13246510,426.10,426.73,420.66
2024-12-30,424.83,13158700,426.06,427.55,421.90
2024-12-27,430.53,18117710,434.60,435.22,426.35
2024-12-26,438.11,8199927,439.08,440.94,436.63
2024-12-24,439.33,7164543,434.65,439.60,434.19
2024-12-23,435.25,19152520,436.74,437.65,432.83
2024-12-20,436.60,64263690,433.11,443.74,428.63
2024-12-19,437.03,22963680,441.62,443.18,436.32
2024-12-18,437.39,24444550,451.32,452.65,437.02
2024-12-17,454.46,22733490,451.01,455.29,449.57
2024-12-16,451.59,23598830,447.27,452.18,445.28
2024-12-13,447.27,20177830,448.44,451.43,445.58
2024-12-12,449.56,20834780,449.11,456.16,449.11
2024-12-11,448.99,19200210,444.05,450.35,444.05
2024-12-10,443.33,18469460,444.39,449.62,441.60
2024-12-09,446.02,19144390,442.60,448.33,440.50
2024-12-06,443.57,18821000,442.30,446.10,441.77
2024-12-05,442.62,21697780,437.92,444.66,436.17
2024-12-04,437.42,26009430,433.03,439.67,432.63
2024-12-03,431.20,18301990,429.84,432.47,427.74
2024-12-02,430.98,20207220,421.57,433.00,421.31
2024-11-29,423.46,16271920,420.09,424.88,417.80
2024-11-27,422.99,18332440,425.11,427.23,422.02
2024-11-26,427.99,23458890,419.59,429.04,418.85
2024-11-25,418.79,27691090,418.38,421.08,414.85
2024-11-22,417.00,24814630,411.37,417.40,411.06
2024-11-21,412.87,20780160,419.50,419.78,410.29
2024-11-20,415.49,19191660,416.87,417.29,410.58
2024-11-19,417.79,18133530,413.11,417.94,411.55
2024-11-18,415.76,24742010,414.87,418.40,412.10
2024-11-15,415.00,28247640,419.82,422.80,413.64
2024-11-14,426.89,30246880,425.00,428.17,420.00
2024-11-13,425.20,21502190,421.64,429.33,418.21
2024-11-12,423.03,19401200,418.25,424.44,417.20
2024-11-11,418.01,24503320,422.52,424.81,416.00
2024-11-08,422.54,16891410,425.32,426.50,421.78
2024-11-07,425.43,19901780,421.28,426.85,419.88
2024-11-06,420.18,26681840,412.42,420.45,410.52
2024-11-05,411.46,17626010,408.37,414.90,408.08
2024-11-04,408.46,19672290,409.80,410.42,405.57
2024-11-01,410.37,24230440,409.01,415.50,407.50
