Date,Close/Last,Volume,Open,High,Low
2025-01-10,135.91,207602500,137.45,139.92,134.22
2025-01-08,140.11,227349900,142.58,143.95,137.56
2025-01-07,140.14,351782200,153.03,153.13,140.01
2025-01-06,149.43,265377400,148.59,152.16,147.82
2025-01-03,144.47,229322500,140.01,144.90,139.73
2025-01-02,138.31,198247200,136.00,138.88,134.63
2024-12-31,134.29,155659200,138.03,138.07,133.83
2024-12-30,137.49,167734700,134.83,140.27,134.02
2024-12-27,137.01,170582600,138.55,139.02,134.71
2024-12-26,139.93,116519100,139.70,140.85,137.73
2024-12-24,140.22,105157000,140.00,141.90,138.65
2024-12-23,139.67,176053500,136.28,139.79,135.12
2024-12-20,134.70,306528600,129.81,135.28,128.22
2024-12-19,130.68,209719200,131.76,134.03,129.55
2024-12-18,128.91,277444500,133.86,136.70,128.28
2024-12-17,130.39,259410300,129.09,131.59,126.86
2024-12-16,132.00,237951100,134.18,134.40,130.42
2024-12-13,134.25,231514900,138.94,139.60,132.54
2024-12-12,137.34,159211400,137.08,138.44,135.80
2024-12-11,139.31,184905200,137.36,140.17,135.21
2024-12-10,135.07,210020900,139.01,141.82,133.79
2024-12-09,138.81,189308600,138.97,139.95,137.13
2024-12-06,142.44,188505600,144.60,145.70,141.31
2024-12-05,145.06,172621200,145.11,146.54,143.95
2024-12-04,145.14,231224300,142.00,145.79,140.29
2024-12-03,140.26,164414000,138.26,140.54,137.95
2024-12-02,138.63,171682800,138.83,140.45,137.83
2024-11-29,138.25,141863200,136.78,139.35,136.05
2024-11-27,135.34,226370900,135.01,137.22,131.80
2024-11-26,136.92,190287700,137.70,139.30,135.67
2024-11-25,136.02,344941900,141.99,142.05,135.82
2024-11-22,141.95,236406200,145.93,147.16,141.10
2024-11-21,146.67,400946600,149.35,152.89,140.70
2024-11-20,145.89,309871700,147.41,147.56,142.73
2024-11-19,147.01,227834900,141.32,147.13,140.99
2024-11-18,140.15,221866000,139.50,141.55,137.15
2024-11-15,141.98,250132900,144.87,145.24,140.08
2024-11-14,146.76,194463300,147.64,149.00,145.55
2024-11-13,146.27,191903300,149.07,149.33,145.90
2024-11-12,148.29,198634700,146.78,149.65,146.01
2024-11-11,145.26,182325600,148.68,148.85,143.57
2024-11-08,147.63,175665800,148.77,149.77,146.26
2024-11-07,148.88,207323300,146.39,148.93,146.17
2024-11-06,145.61,242043900,142.96,146.49,141.96
2024-11-05,139.91,160537400,137.45,140.37,137.33
2024-11-04,136.05,187528200,137.21,138.96,135.57
2024-11-01,135.40,207127800,134.70,137.31,134.57
2024-10-31,132.76,270039600,137.60,137.61,132.11
2024-10-30,139.34,179418100,139.54,140.33,136.81
2024-10-29,141.25,157593600,140.29,142.26,138.90
2024-10-28,140.52,173586700,143.00,143.14,140.05
2024-10-25,141.54,205122100,140.93,144.13,140.80
2024-10-24,140.41,172354900,140.82,141.35,138.46
2024-10-23,139.56,285930000,142.03,142.43,137.46
2024-10-22,143.59,226311600,142.91,144.42,141.78
2024-10-21,143.71,264554500,138.13,143.71,138.00
2024-10-18,138.00,176090200,138.67,138.90,137.28
2024-10-17,136.93,306435900,139.34,140.89,136.87
2024-10-16,135.72,264879700,133.98,136.62,131.58
2024-10-15,131.60,377831000,137.87,138.57,128.74
2024-10-14,138.07,232347700,136.47,139.60,136.30
2024-10-11,134.80,170209500,134.01,135.78,133.66
2024-10-10,134.81,242311300,131.91,135.00,131.00
2024-10-09,132.65,246191600,134.11,134.52,131.38
2024-10-08,132.89,285722500,130.26,133.48,129.42
2024-10-07,127.72,346250200,124.99,130.64,124.95
2024-10-04,124.92,244465600,124.94,125.04,121.83
2024-10-03,122.85,277118000,120.92,124.36,120.34
2024-10-02,118.85,221845900,116.44,119.38,115.14
2024-10-01,117.00,302094500,121.77,122.44,115.79
2024-09-30,121.44,227053700,118.31,121.50,118.15
2024-09-27,121.40,271009200,123.97,124.03,119.26
2024-09-26,124.04,302582900,126.80,127.67,121.80
2024-09-25,123.51,284692900,122.02,124.94,121.61
2024-09-24,120.87,354966800,116.52,121.80,115.38
2024-09-23,116.26,206228500,116.55,116.99,114.86
2024-09-20,116.00,382462400,117.06,118.62,115.39
2024-09-19,117.87,293506400,117.35,119.66,117.25
2024-09-18,113.37,310318900,115.89,117.70,113.22
2024-09-17,115.59,231925900,118.17,118.80,114.83
2024-09-16,116.78,248772300,116.79,118.18,114.36
2024-09-13,119.10,238358300,119.08,119.96,117.60
2024-09-12,119.14,367100500,116.84,120.79,115.38
2024-09-11,116.91,441422400,109.39,117.19,107.42
2024-09-10,108.10,268283700,107.81,109.40,104.95
2024-09-09,106.47,273912000,104.88,106.55,103.69
2024-09-06,102.83,413638100,108.04,108.15,100.95
2024-09-05,107.21,306850700,104.99,109.65,104.76
2024-09-04,106.21,372470300,105.41,113.27,104.12
2024-09-03,108.00,477155100,116.01,116.21,107.29
2024-08-30,119.37,333751600,119.53,121.75,117.22
2024-08-29,117.59,453023300,121.36,124.43,116.71
2024-08-28,125.61,448101100,128.12,128.33,122.64
2024-08-27,128.30,303134600,125.05,129.20,123.88
2024-08-26,126.46,331964700,129.57,131.26,124.37
2024-08-23,129.37,323230300,125.86,129.60,125.22
2024-08-22,123.74,376189100,130.02,130.75,123.10
2024-08-21,128.50,257883600,127.32,129.35,126.66
2024-08-20,127.25,300087400,128.40,129.88,125.89
2024-08-19,130.00,318333600,124.28,130.00,123.42
2024-08-16,124.58,302589900,121.94,125.00,121.18
2024-08-15,122.86,318086700,118.76,123.24,117.47
2024-08-14,118.08,339246400,118.53,118.60,114.07
2024-08-13,116.14,312646700,112.44,116.23,111.58
2024-08-12,109.02,325559900,106.32,111.07,106.26
2024-08-09,104.75,290844200,105.64,106.60,103.43
2024-08-08,104.97,391910000,102.00,105.50,97.52
2024-08-07,98.91,411440400,107.81,108.80,98.69
2024-08-06,104.25,409012100,103.84,107.71,100.55
2024-08-05,100.45,552842400,92.06,103.41,90.69
2024-08-02,107.27,482027500,103.76,108.72,101.37
2024-08-01,109.21,523462300,117.53,120.16,106.81
2024-07-31,117.02,473174200,112.90,118.34,110.88
2024-07-30,103.73,486833300,111.52,111.99,102.54
2024-07-29,111.59,248152100,113.69,116.28,111.30
2024-07-26,113.06,293399100,116.19,116.20,111.58
2024-07-25,112.28,460067000,113.04,116.63,106.30
2024-07-24,114.25,327776900,119.17,119.95,113.44
2024-07-23,122.59,173911000,122.78,124.69,122.10
2024-07-22,123.54,258068900,120.35,124.07,119.86
2024-07-19,117.93,217223800,120.35,121.60,117.37
2024-07-18,121.09,320979500,121.85,122.40,116.56
2024-07-17,117.99,390086200,121.35,121.85,116.72
2024-07-16,126.36,214769500,128.44,129.04,124.58
2024-07-15,128.44,208326200,130.56,131.39,127.18
2024-07-12,129.24,252680500,128.26,131.92,127.22
2024-07-11,127.40,374782700,135.75,136.15,127.05
2024-07-10,134.91,248978600,134.03,135.10,132.42
2024-07-09,131.38,287020800,130.35,133.82,128.65
2024-07-08,128.20,237677300,127.49,130.77,127.04
2024-07-05,125.83,214176700,127.38,128.85,125.68
2024-07-03,128.28,215749000,121.66,128.28,121.36
2024-07-02,122.67,218374000,121.13,123.41,121.03
2024-07-01,124.30,284885500,123.47,124.84,118.83
2024-06-28,123.54,315516700,124.58,127.71,122.75
2024-06-27,123.99,252571700,124.10,126.41,122.92
2024-06-26,126.40,362975900,126.13,128.12,122.60
2024-06-25,126.09,425787500,121.20,126.50,119.32
2024-06-24,118.11,476060900,123.24,124.46,118.04
2024-06-21,126.57,655484700,127.12,130.63,124.30
2024-06-20,130.78,517768400,139.80,140.76,129.52
2024-06-18,135.58,294335100,131.14,136.33,130.69
2024-06-17,130.98,288504400,132.99,133.73,129.58
